task	contrast	positive label	negative label	pretty name	tags
ArchiStandard	video_left_button_press	video left button press	fixation	left hand button presses upon video instructions	['visual_sentence_comprehension','response_selection','response_execution','left_finger_response_execution']
ArchiStandard	video_right_button_press	video right button press	fixation	right hand button presses upon video instructions	['visual_sentence_comprehension','response_selection','response_execution','right_finger_response_execution']
ArchiStandard	audio_left_button_press	audio left button press	fixation	left hand button presses upon audio instructions	['auditory_sentence_comprehension','response_selection','response_execution','left_finger_response_execution']
ArchiStandard	audio_right_button_press	audio right button press	fixation	right hand button presses upon audio instructions	['auditory_sentence_comprehension','response_selection','response_execution','right_finger_response_execution']
ArchiStandard	left-right_button_press	left hand	right hand	left vs. right hand button press	['left_finger_response_execution']
ArchiStandard	right-left_button_press	right hand	left hand	right vs. left hand button press	['right_finger_response_execution']
ArchiStandard	horizontal_checkerboard	horizontal checkerboard	fixation	watch horizontal checkerboard	['horizontal_checkerboard','visual_orientation']
ArchiStandard	vertical_checkerboard	vertical checkerboard	fixation	watch vertical checkerboard	['vertical_checkerboard','visual_orientation']
ArchiStandard	horizontal-vertical	horizontal checkerboard	vertical checkerboard	horizontal vs. vertical checkerboard	['horizontal_checkerboard']
ArchiStandard	vertical-horizontal	vertical checkerboard	horizontal checkerboard	vertical vs. horizontal checkerboard	['vertical_checkerboard']
ArchiStandard	video_sentence	read sentence	fixation	read narrative sentence	['visual_word_recognition','visual_sentence_comprehension','visual_attention']
ArchiStandard	audio_sentence	listen to sentence	fixation	listen to narrative sentence	['auditory_word_recognition','auditory_sentence_comprehension','auditory_attention']
ArchiStandard	video_computation	read then calculate	fixation	mental subtraction upon video instruction	['visual_arithmetic_processing','visual_sentence_comprehension']
ArchiStandard	audio_computation	listen then calculate	fixation	mental subtraction upon audio instruction	['auditory_arithmetic_processing','auditory_sentence_comprehension']
ArchiStandard	sentences	read or listen	fixation	read or listen to sentences	['visual_word_recognition','auditory_word_recognition','visual_sentence_comprehension','auditory_sentence_comprehension']
ArchiStandard	computation	mental subtraction	fixation	mental subtraction	['visual_arithmetic_processing','auditory_arithmetic_processing','visual_sentence_comprehension','auditory_sentence_comprehension']
ArchiStandard	sentences-computation	sentence	mental subtraction	sentence reading vs. mental subtraction 	['visual_word_recognition','auditory_word_recognition']
ArchiStandard	computation-sentences	mental subtraction	sentence	mental subtraction vs. sentence reading	['visual_arithmetic_processing','auditory_arithmetic_processing']
