task	contrast
ArchiStandard	audio_left_button_press
ArchiStandard	audio_right_button_press
ArchiStandard	video_left_button_press
ArchiStandard	video_right_button_press
ArchiStandard	horizontal_checkerboard
ArchiStandard	vertical_checkerboard
ArchiStandard	audio_sentence
ArchiStandard	video_sentence
ArchiStandard	audio_computation
ArchiStandard	video_computation
ArchiSpatial	saccades
ArchiSpatial	rotation_hand
ArchiSpatial	rotation_side
ArchiSpatial	object_grasp
ArchiSpatial	object_orientation
ArchiSocial	mechanistic_audio
ArchiSocial	mechanistic_video
ArchiSocial	triangle_mental
ArchiSocial	triangle_random
ArchiSocial	false_belief_audio
ArchiSocial	false_belief_video
ArchiSocial	speech_sound
ArchiSocial	non_speech_sound
ArchiEmotional	face_gender
ArchiEmotional	face_control
ArchiEmotional	face_trusty
ArchiEmotional	expression_intention
ArchiEmotional	expression_gender
ArchiEmotional	expression_control
HcpEmotion	shape
HcpEmotion	face
HcpGambling	punishment
HcpGambling	reward
HcpMotor	left_hand
HcpMotor	right_hand
HcpMotor	left_foot
HcpMotor	right_foot
HcpMotor	tongue
HcpMotor	cue
HcpLanguage	story
HcpLanguage	math
HcpRelational	relational
HcpRelational	match
HcpSocial	mental
HcpSocial	random
HcpWm	0back_body
HcpWm	2back_body
HcpWm	0back_face
HcpWm	2back_face
HcpWm	0back_tools
HcpWm	2back_tools
HcpWm	0back_place
HcpWm	2back_place
RSVPLanguage	complex
RSVPLanguage	simple
RSVPLanguage	jabberwocky
RSVPLanguage	word_list
RSVPLanguage	pseudoword_list
RSVPLanguage	consonant_string
RSVPLanguage	probe
MTTWE	we_average_reference
MTTWE	we_all_space_cue
MTTWE	we_all_time_cue
MTTWE	we_westside_event
MTTWE	we_eastside_event
MTTWE	we_before_event
MTTWE	we_after_event
MTTWE	we_all_event_response
MTTNS	sn_average_reference
MTTNS	sn_all_space_cue
MTTNS	sn_all_time_cue
MTTNS	sn_southside_event
MTTNS	sn_northside_event
MTTNS	sn_before_event
MTTNS	sn_after_event
MTTNS	sn_all_event_response
PreferenceFood	food_constant
PreferenceFood	food_linear
PreferenceFood	food_quadratic
PreferencePaintings	painting_constant
PreferencePaintings	painting_linear
PreferencePaintings	painting_quadratic
PreferenceFaces	face_constant
PreferenceFaces	face_linear
PreferenceFaces	face_quadratic
PreferenceHouses	house_constant
PreferenceHouses	house_linear
PreferenceHouses	house_quadratic
TheoryOfMind	belief
TheoryOfMind	photo
EmotionalPain	physical_pain
EmotionalPain	emotional_pain
PainMovie	movie_pain
PainMovie	movie_mental
VSTM	vstm_linear
VSTM	vstm_constant
VSTM	vstm_quadratic
Enumeration	enumeration_linear
Enumeration	enumeration_constant
Enumeration	enumeration_quadratic
Self	instructions
Self	encode_self
Self	encode_other
Self	recognition_self_hit
Self	recognition_other_hit
Self	correct_rejection
Self	false_alarm
Bang	talk
Bang	no_talk
wedge	lower_meridian
wedge	upper_meridian
wedge	lower_right
wedge	upper_left
wedge	right_meridian
wedge	left_meridian
wedge	upper_right
wedge	lower_left
ring	foveal
ring	middle
ring	peripheral
Lec2	unattend
Lec2	attend
Audi	tear
Audi	suomi
Audi	yawn
Audi	human
Audi	silence
Audi	music
Audi	reverse
Audi	speech
Audi	alphabet
Audi	cough
Audi	environment
Audi	laugh
Audi	animals
Visu	scrambled
Visu	face-scrambled
Visu	characters-scrambled
Visu	scene-scrambled
Visu	house-scrambled
Visu	animal-scrambled
Visu	pseudoword-scrambled
Visu	tool-scrambled
Lec1	random_string
Lec1	word
Lec1	pseudoword
MVEB	letter_occurrence_response
MVEB	2_letters_different
MVEB	4_letters_different
MVEB	6_letters_different
MVEB	2_letters_same
MVEB	4_letters_same
MVEB	6_letters_same
MVIS	dot_displacement_response
MVIS	2_dots-2_dots_control
MVIS	4_dots-4_dots_control
MVIS	6_dots-6_dots_control
MVIS	6_dots-2_dots
Moto	finger_right-fixation
Moto	finger_left-fixation
Moto	foot_left-fixation
Moto	foot_right-fixation
Moto	hand_left-fixation
Moto	hand_right-fixation
Moto	saccade-fixation
Moto	tongue-fixation
MCSE	high_salience_left
MCSE	high_salience_right
MCSE	low_salience_left
MCSE	low_salience_right
Audio	mean-silence
Audio	animal-silence
Audio	music-silence
Audio	nature-silence
Audio	speech-silence
Audio	voice-silence
attention	double_congruent
attention	double_incongruent
attention	double_cue
attention	spatial_incongruent
attention	spatial_congruent
stop_signal	go
stop_signal	stop
two_by_two	task_stay_cue_stay
two_by_two	task_switch_cue_switch
two_by_two	task_switch_cue_stay
two_by_two	task_stay_cue_switch
discount	delay
discount	amount
selective_stop_signal	go_critical
selective_stop_signal	go_noncritical
selective_stop_signal	stop
selective_stop_signal	ignore
stroop	congruent
stroop	incongruent
columbia_cards	num_loss_cards
columbia_cards	loss
columbia_cards	gain
dot_patterns	cue
dot_patterns	correct_cue_correct_probe
dot_patterns	correct_cue_incorrect_probe
dot_patterns	incorrect_cue_correct_probe
dot_patterns	incorrect_cue_incorrect_probe
ward_and_allport	planning_ambiguous_intermediate
ward_and_allport	planning_unambiguous_direct
ward_and_allport	planning_ambiguous_direct
ward_and_allport	planning_unambiguous_intermediate
biological_motion1	global_upright
biological_motion1	global_inverted
biological_motion1	natural_upright
