task	contrast
ArchiStandard	left-right_button_press
ArchiStandard	reading-listening
ArchiStandard	motor-cognitive
ArchiStandard	reading-checkerboard
ArchiStandard	computation-sentences
ArchiStandard	horizontal-vertical
ArchiSpatial	saccades
ArchiSpatial	hand-side
ArchiSpatial	grasp-orientation
ArchiSpatial	rotation_side
ArchiSpatial	object_orientation
ArchiSocial	triangle_mental-random
ArchiSocial	false_belief-mechanistic_audio
ArchiSocial	triangle_random
ArchiSocial	mechanistic_audio
ArchiSocial	mechanistic_video
ArchiSocial	non_speech_sound
ArchiSocial	false_belief-mechanistic_video
ArchiSocial	speech-non_speech
ArchiEmotional	expression_gender-control
ArchiEmotional	expression_intention-gender
ArchiEmotional	face_gender-control
ArchiEmotional	face_trusty-gender
HcpLanguage	story-math
HcpLanguage	math
HcpSocial	mental-random
HcpSocial	random
HcpGambling	punishment-reward
HcpGambling	reward
HcpMotor	left_hand-avg
HcpMotor	right_hand-avg
HcpMotor	left_foot-avg
HcpMotor	right_foot-avg
HcpMotor	tongue-avg
HcpEmotion	shape
HcpEmotion	face-shape
HcpRelational	relational-match
HcpRelational	match
HcpWm	2back-0back
HcpWm	body-avg
HcpWm	face-avg
HcpWm	place-avg
HcpWm	tools-avg
RSVPLanguage	complex-simple
RSVPLanguage	sentence-jabberwocky
RSVPLanguage	sentence-word
RSVPLanguage	word-consonant_string
RSVPLanguage	jabberwocky-pseudo
RSVPLanguage	word-pseudo
RSVPLanguage	pseudo-consonant_string
RSVPLanguage	consonant_string
MTTWE	we_average_reference
MTTWE	we_all_space-time_cue
MTTWE	we_average_event
MTTWE	we_space-time_event
MTTWE	westside-eastside_event
MTTWE	we_before-after_event
MTTNS	sn_average_reference
MTTNS	sn_all_space-time_cue
MTTNS	sn_average_event
MTTNS	sn_space-time_event
MTTNS	southside-northside_event
MTTNS	sn_before-after_event
PreferenceHouses	house_constant
PreferenceFaces	face_constant
PreferencePaintings	painting_constant
PreferenceFood	food_constant
Preference	preference_linear
Preference	preference_quadratic
TheoryOfMind	photo
TheoryOfMind	belief-photo
EmotionalPain	physical_pain
EmotionalPain	emotional-physical_pain
PainMovie	movie_pain
PainMovie	movie_mental-pain
VSTM	vstm_constant
VSTM	vstm_linear
VSTM	vstm_quadratic
Enumeration	enumeration_constant
Enumeration	enumeration_linear
Enumeration	enumeration_quadratic
Self	encode_other
Self	encode_self-other
Self	recognition_other_hit
Self	recognition_self-other
Self	correct_rejection
Self	recognition_hit-correct_rejection
Bang	talk-no_talk
Bang	no_talk
Retinotopy	phase_ring
Retinotopy	phase_wedge
Retinotopy	retinotopicity
WedgeClock	lower_meridian
WedgeClock	upper_meridian
WedgeClock	lower_right
WedgeClock	upper_left
WedgeClock	right_meridian
WedgeClock	left_meridian
WedgeClock	upper_right
WedgeClock	lower_left
WedgeAnti	lower_meridian
WedgeAnti	upper_meridian
WedgeAnti	lower_right
WedgeAnti	upper_left
WedgeAnti	right_meridian
WedgeAnti	left_meridian
WedgeAnti	upper_right
WedgeAnti	lower_left
ContRing	foveal
ContRing	middle
ContRing	peripheral
ExpRing	foveal
ExpRing	middle
ExpRing	peripheral
Lec2	unattend
Lec2	attend-unattend
Lec2	attend
Audi	tear-silence
Audi	suomi-silence
Audi	yawn-silence
Audi	human-silence
Audi	silence
Audi	music-silence
Audi	reverse-silence
Audi	speech-silence
Audi	alphabet-silence
Audi	cough-silence
Audi	environment-silence
Audi	laugh-silence
Audi	animals-silence
Visu	scrambled
Visu	face-scrambled
Visu	characters-scrambled
Visu	scene-scrambled
Visu	house-scrambled
Visu	animal-scrambled
Visu	pseudoword-scrambled
Visu	tool-scrambled
Lec1	random_string
Lec1	word-pseudoword
Lec1	word-random_string
Lec1	pseudoword-random_string
MVEB	letter_occurrence_response
MVEB	2_letters_different-same
MVEB	4_letters_different-same
MVEB	6_letters_different-same
MVEB	6_letters_different-2_letters_different
MVIS	dot_displacement_response
MVIS	2_dots-2_dots_control
MVIS	4_dots-4_dots_control
MVIS	6_dots-6_dots_control
MVIS	6_dots-2_dots
Moto	instructions
Moto	finger_right-fixation
Moto	finger_left-fixation
Moto	foot_left-fixation
Moto	foot_right-fixation
Moto	hand_left-fixation
Moto	hand_right-fixation
Moto	saccade-fixation
Moto	tongue-fixation
MCSE	low-high_salience
MCSE	salience_left-right
Audio	animal-silence
Audio	music-silence
Audio	nature-silence
Audio	speech-silence
Audio	tool-silence
Audio	voice-silence
Audio	mean-silence
Audio	animal-others
Audio	music-others
Audio	nature-others
Audio	speech-others
Audio	tool-others
Audio	voice-others
Attention	spatial_cue-double_cue
Attention	spatial_cue
Attention	incongruent-congruent
Attention	double_incongruent-double_congruent
Attention	double_congruent
Attention	double_incongruent
Attention	double_cue
Attention	spatial_incongruent-spatial_congruent
Attention	spatial_incongruent
Attention	spatial_congruent
StopSignal	go
StopSignal	stop
StopSignal	stop-go
TwoByTwo	cue_taskstay_cuestay
TwoByTwo	cue_taskswitch_cueswitch
TwoByTwo	cue_taskswitch_cuestay
TwoByTwo	cue_taskstay_cueswitch
TwoByTwo	task_switch-stay
TwoByTwo	cue_switch-stay
Discount	delay
Discount	amount
